,Name,Description,Industry,Keywords,Founded,Locations,Disclosed Funding,Next Round Estimate,Probability Score,Valuation Estimate
304,Knowmail,"Knowmail is an AI messaging engine providing services such as prioritization, smart summary, and next best action for the corporate employee",big data & ai,"business and industry, information technology company, internet/software",2014,United States,$4.70m,Q3 2018,70%,$23.33m
305,Kuli Kuli Foods,"Kuli Kuli sells delicious, gluten-free and vegan products made with moringa, one of the most nutrient-rich plants on the planet.",shopping,"food and beverages, impact, kuli kuli, moringa, moringa bars...",2011,United States,$4.25m,Q2 2018,47%,$28.33m
306,Lambda School,"A revolutionary new school that bets on you. We train people to be software engineers and data scientists at no upfront cost. ONLY pay if we're making $50,000/yr or more. Come learn with us!  https://lambdaschool.com",big data & ai,education,2018,United States,$4.00m,Q1 2019,,$26.67m
307,Lantern Pharma,"A Targeted Personalized Approach  

Lantern is disrupting the drug development process by employing “3R Adaptive reuse” - Rescue, Repurpose and Revitalize abandoned and new drugs by harnessing the power of Genomics and Artificial Intelligence technology.    Our approach      
Goal  

Rescue 50 precision drugs using our approach",medicine,biotechnology and pharmaceuticals,2013,United States,$3.70m,Q3 2018,76%,$24.67m
308,Lattice,Modern performance management software,business and industry,"1:1 tools, employee engagement software, employee management software, employee manager check-ins, goal management software...",2015,United States,$6.40m,Q3 2018,57%,$42.67m
309,LeafHQ,N/A,business and industry,"business and industry, consumer services",2011,United States,$22.00m,Q2 2018,32%,$13.33m
310,LeanDNA,"Delivering actionable intelligence to the factory
LeanDNA helps manufacturers solve the challenges of supply chain. Easily link to any ERP to reduce inventory, manage shortages, track Lean projects, & more.",engineering and technology,,2011,United States,$4.50m,Q3 2018,38%,$30.00m
311,Lean Media,Lean Media is audience targeting for online display advertising using innovative audience targeting with cutting edge ad delivery.,,advertising/marketing,2018,United States,$500k,Q1 2019,,$3.33m
312,LearnLux,We help Millennials learn personal finance skills through online learning tools. ,financial services,internet/software,2014,United States,$400k,Q1 2019,46%,$2.67m
313,Learn to Live Cognitive Behavioral Therapy,"Join our active online community of people who struggle with Social Anxiety, Depression or Stress. 

Find our online CBT-based programs at bit.ly/L2Live",medicine,"food and drink, health/wellness website, mental health service",2012,United States,$4.30m,Q1 2019,40%,$28.67m
314,Legit,"Legit is all about discovering and sharing movies and TV shows with friends. Download it on Apple TV, iOS, Android, or try it online at http://legit.com!",information technology,,2015,United States,$2.60m,Q1 2019,50%,$17.33m
315,Lettrs,"Revisiting the past through 'lettrs'®- A mobile app designed to bring back that old magic of Letter-writing, in today's world.
http://txt.lettrs.com/about",information technology,technology news,2008,United States,$3.00m,Q1 2019,50%,$20.00m
316,LifeFuels,The world's first smart nutrition bottle. #FindYourFuel ,information technology,arts and entertainment,2014,United States,$5.00m,Q2 2018,63%,$33.33m
317,Lightform,Lightform is the first computer made for projected augmented reality. Connect Lightform to any projector and instantly create magical experiences with light.,3d,,2014,United States,$7.60m,Q3 2018,,$33.33m
318,Lightning Labs,N/A,financial services,local business,2018,United States,$2.50m,Q1 2019,,$16.67m
319,Light Polymers,Light Polymers is an advanced polymers and materials company with breakthrough chemistry based on high refractive index lyotropic liquid crystals,engineering and technology,"business and industry, chemicals, commercial and industrial",2013,United States,$5.00m,Q3 2018,52%,$33.33m
320,Limelight Health,"Employee Benefits Reimagined

Limelight Health powers employee benefits distribution for health insurance carriers, general agents and brokers.",information technology,"computers/technology, insurance, online marketing",2014,United States,$10.00m,Q1 2019,64%,$46.67m
321,Lingokids,"Monkimun is an award-winning company that makes Language Learning for Kids fun! 

En Monkimun, hacemos que los niños aprendan idiomas ¡divirtiéndose!
",education,"app to learn english, best method to learn english, e-learning, education, educational games...",2014,United States,$5.10m,Q3 2018,55%,$26.67m
322,Lingo Live,Lingo Live teaches language skills to employees of multinational companies through customized lessons with a native instructor over video conference.,education,"business service, e-learning, education",2012,United States,$6.34m,Q2 2018,46%,$34.67m
323,Lively,We're the 401(k) of healthcare. A modern HSA platform for employers & individuals. Invest in your health!,medicine,internet company,2016,United States,$4.20m,Q4 2018,,$28.00m
324,LiveSafe,"LiveSafe instantly deputizes your community to create mobile, two-way interactions with safety & security, preventing incidents before they occur.",business and industry,"education, public safety",2012,United States,$21.00m,Q2 2019,73%,$35.00m
325,Localeur,N/A,tours/sightseeing,"coupons, leisure and travel",2013,United States,$7.20m,Q3 2018,43%,$20.00m
326,Long Game,The First “Prize-Linked Savings” Mobile App. Long Game encourages people to create and build a savings account in a way that’s fun and accessible — by rewarding them with real prizes for positive saving behaviors.,mobile platforms,"internet company, internet/software",2015,United States,$9.22m,Q2 2018,76%,$44.00m
327,Lorem Technologies,"Expert help on-demand for your website, blog, or online store. Now available for Squarespace and WordPress.",information technology,web designer,2016,United States,$1.10m,Q2 2018,61%,$7.33m
328,Losant,Losant is an Internet of Things developer platform that makes building IoT and connected device solutions simple and fast.,information technology,computer company,2015,United States,$5.20m,Q1 2019,,$34.67m
329,LumaTax,"LumaTax is building a world where all small business tax filings are touch-free, paper-free, and worry-free. By eliminating the undue burden, we let businesses focus to do what they do best.",information technology,internet company,2016,United States,$5.00m,Q1 2019,39%,$20.00m
330,Lumavate,We’re a leading platform for building cloud-based apps and we’re make it easier than ever for you to deliver highly-personalized connected experiences.,information technology,internet company,2018,United States,$2.50m,Q1 2019,,$16.67m
331,Luther Systems,"Streamline enterprise processes leveraging blockchain technology. Luther Systems is working with multiple corporations to streamline and improve the efficiency, reliability, and integrity of enterprise processes. Our products deliver superior performance while reducing costs to our clients.",,,2018,United States,$1.50m,Q1 2019,,$10.00m
332,Lynkos,"Find & connect with more than 1.3 million bussinesses in 190 countries. Join the business network.
",business and industry,"finance, information technology and services, software",2011,United States,$2.50m,Q2 2018,54%,$16.67m
333,lynQ,lynQ is location-based off-grid wearable tech that allows you to spend more time doing what you love with the people you want to stay close to.,information technology,electronics,2014,United States,$1.90m,Q2 2018,55%,$12.67m
334,Maria Empanada,"We are empanada artisans.
303-934-2221
mariaempanada.com",shopping,argentinian restaurant,2017,United States,$3.50m,Q4 2018,,$23.33m
335,Mason America,"Mason creates custom Android devices that replace big, expensive machines that are crucial for business. the Device is designed around your app. 


",information technology,"android, devices, domain names and register, electronics, mason...",2014,United States,$5.65m,Q2 2018,72%,$1.67m
336,Matcherino,Crowd Fund eSports matches,financial services,website,2015,United States,$2.75m,Q4 2018,59%,$10.00m
337,Matic Insurance,"Matic integrates directly with your mortgage lender to help you get homeowners insurance with a click of a button. Licensed in all 50 states and partnered with the best carriers, we use our technology to get you the best insurance, effortlessly. ",,insurance broker,2017,United States,$7.00m,Q4 2018,,$46.67m
338,Mati Energy,A refreshing and energizing drink alternative for active and health-conscious consumers looking to enhance their everyday performance,shopping,"food and beverage, food/beverages, news and media",2012,United States,$4.60m,Q2 2018,39%,$16.67m
339,Mavin,Gigato is new way to earn free data recharges while enjoying apps you love. Use the apps you love now without data charges,information technology,"2g, 3g, business and industry, fast recharge sponsored data, free access...",2013,United States,$9.24m,Q3 2018,50%,$20.00m
340,Measurence,Contextual analytics and proximity marketing for physical retail,information technology,"computer software, computers/technology, mobile developers",2014,United States,$1.25m,Q1 2019,75%,$6.67m
341,Medinas Health,The best online medical supply marketplace.,financial services,medical company,2018,United States,$1.00m,Q1 2019,,$6.67m
342,Medumo,"Medumo’s CareTours™ enable healthcare organizations to guide patients using timely, automated digital instructions and reminders.",medicine,,2018,United States,$2.00m,Q1 2019,,$13.33m
343,Menzies Distribution,Menzies Distribution is a time-critical logistics business with more than 50 depot locations across the UK and Ireland.,,local business,2017,United States,$4.02m,Q3 2018,75%,$26.80m
344,Meritize,"Meritize is a new kind of academic lender, founded on the principle that high-performing students are high-performing borrowers.",education,loan service,2016,United States,$6.80m,Q1 2019,,$45.33m
345,MessageGears,MessageGears is an enterprise email marketing solution built for data-savvy businesses.,business and industry,"business service, email, information technology and services, internet/software",2010,United States,$5.10m,Q3 2018,68%,$18.33m
346,MetaCert,"Security for companies that use Messenger Platforms - Slack, HipChat, Skype, Messenger.",security monitoring,"api, business and industry, internet, metacert, mobile...",2011,United States,$1.94m,Q2 2019,47%,$8.00m
347,Meta SaaS,SaaS license management.,information technology,"region, saas management, saas service management",2016,United States,$1.50m,Q2 2018,54%,$10.00m
348,Meural,The beautiful union of art and science: mural + neural. We make the Meural digital frame.,software development,"business and industry, internet/software",2014,United States,$8.00m,Q2 2019,57%,$33.33m
349,Microbiome Therapeutics,N/A,medicine,"biotechnology, conditions and diseases, corporate office",2009,United States,$2.30m,Q2 2020,68%,$6.67m
350,Micro C Imaging,Micro C is the new standard for handheldmobile fluoroscopy. A team of professionals and medical experts is revolutionizing X-ray tech and availability. ,medicine,surgeon,2016,United States,$1.00m,Q1 2019,,$6.67m
351,Micronotes,Micronotes is a cloud-based marketing automation company leveraging fast automated interviews and machine learning to solve the digital engagement problem ,marketing and advertising,"local business, marketing and advertising",2008,United States,$3.00m,Q2 2019,19%,$20.00m
352,MineralSoft,MineralSoft is the best online platform for managing your minerals.,financial services,"internet company, internet/software",2014,United States,$4.12m,Q2 2019,38%,$26.67m
353,Minibar Delivery,"Lift your spirits with on-demand wine, beer, & liquor. Available in 20 cities nationwide and growing.  
www.minibardelivery.com",shopping,"beverages, marketing and advertising",2013,United States,$5.00m,Q3 2018,55%,$33.33m
354,M.io,"M.io is a universal messaging network that makes it easy to chat with anyone, regardless of which chat app they use. Users of popular apps like Slack, Cisco Spark, and Atlassian Stride can send each other direct messages and join universal channels.",social media,internet company,2016,United States,$5.80m,Q2 2019,,$38.67m
355,Mira,Mira,,electronics,2017,United States,$1.50m,Q2 2018,,$10.00m
356,mLevel,The Microlearning Platform for Your Enterprise,education,"casual learning, corporate learning, elearning, mlevel, software...",2012,United States,$7.20m,Q1 2019,43%,$14.67m
357,MoBagel,"MoBagel uses predictive AI to help enterprises forecast supply chain's demands, predictive maintenance, and send out automatic campaigns.",big data & ai,"business and industry, internet/software",2015,United States,$3.00m,Q3 2018,69%,$20.00m
358,Mobilize,"Mobilize.Net is the fastest way to move your legacy code to .NET, HTML5, Web, Mobile, and Cloud",,"computer software, computers/technology, software",2012,United States,$7.70m,Q2 2018,57%,$43.33m
359,Modbot,Industrial Quality Robot Building Blocks,electronics,"computer company, computers/technology, industrial automation, video games",2013,United States,$4.00m,Q3 2018,23%,$26.67m
360,MoveWith,Find and connect with the fitness teachers who keep you motivated and inspired.,health/beauty,health/wellness website,2015,United States,$3.83m,Q1 2019,49%,$5.50m
361,MPOWER Financing,Find out more about MPOWER Financing...,education,bank/financial institution,2014,United States,$500k,Q3 2018,62%,$3.33m
362,Music Audience Exch,MAX is a technology company that helps consumer brands and music artists form mutually beneficial partnerships to drive measurable results.,business and industry,internet/software,2014,United States,$6.00m,Q2 2018,92%,$40.00m
363,Mycrophone,"With Rico and Uwe, two creative and technical geniuses behind one of the world's most successful VoIP platforms, the team was now complete. Rico and Uwe began - and continue - to innovate around intractable problems, finding outside the box solutions when platform limitations seemed insurmountable. Two years later, at the present day, Mycrophone has a stellar product that turns all mobile devices - iOS and Android - into wireless microphones.",information technology,computers/technology,2014,United States,$630k,Q3 2018,45%,$4.20m
364,Myriad Mobile,"Smart + Creative + Mobile. Having designed 300+ mobile apps, Myriad Mobile knows how to create custom Android, iOS, and web products for clients.",mobile platforms,"computers/technology, mobile developers, web designer",2011,United States,$1.50m,Q3 2018,57%,$10.00m
365,Mystery Science,Open-and-go lessons that inspire kids to love science. http://mysteryscience.com,education,"education, elementary science lessons, lesson plans, ngss science curriculum",2013,United States,$2.50m,Q2 2019,51%,$13.33m
366,Navigine,"Navigine provides software tools for mobile developers and system integrators to create mobile wayfinding, proximity marketing and foot traffic collection solutions.",information technology,"bluetooth navigation, ibeacon, indoor analytics, indoor location, indoor maps...",2011,United States,$1.30m,Q4 2018,60%,$6.00m
367,NeuroSpire,NeuroSpire provides a technological platform for performing neuromarketing studies.  Visit us and learn more at www.neurospire.com,,biotechnology,2010,United States,$619k,Q2 2018,63%,$4.12m
368,New,"An initiative of the New Museum, NEW INC is the first museum-led incubator for art, technology, and design. ",business and industry,marketing and advertising,2014,United States,$3.80m,Q2 2018,56%,$6.67m
369,Next Caller ®,"Next Caller provides Advanced Caller ID℠ and spoof detection for businesses. http://nextcaller.com  - @NextCaller
",,"anti-fraud, call center security, caller authentication, caller id, caller id spoofing...",2012,United States,$5.00m,Q4 2018,49%,$33.33m
370,Nikola Labs,Nikola Labs is a wireless power company with state-of-the-art technology that converts radio frequency (RF) energy into direct current (DC) power.,information technology,electronics,2014,United States,$3.25m,Q1 2019,38%,$13.33m
371,Noble Media,N/A,news and media,media,2018,United States,$200k,Q2 2019,,$1.33m
372,nOCD,TreatMyOCD is a movement started by the nOCD app. Our goal is to revolutionize OCD treatment. Click the link below to download nOCD for free!!,information technology,mental health service,2018,United States,$1.00m,Q1 2019,,$6.67m
373,Noodle,N/A,education,"cooking and recipes, internet, local business",2010,United States,$5.00m,Q2 2018,44%,$33.33m
374,Nooklyn,Apartments and roommates made easy. Posting curated neighborhood guides. ,,real estate,2018,United States,$825k,Q1 2019,,$5.50m
375,Novel Effect,An app that determines where you are in a children's book and plays perfectly timed sound effects and original theme music as you read aloud.,books and literature,"app, book, booktrack, children, education...",2015,United States,$500k,Q4 2018,64%,$3.33m
376,NuCurrent,Delivering breakthrough wireless power solutions to product teams through expert systems integration and our proprietary NuIQ Technology Platform.,information technology,"business and industry, wireless",2009,United States,$4.50m,Q4 2019,32%,$6.67m
377,NumberAI,Business Texting + AI,,,2018,United States,$1.60m,Q1 2019,,$10.67m
378,NurseGrid,"We make integrated, intuitive staffing and communication tools just for nurses and nursing departments.",business and industry,"hospital and health care, software",2013,United States,$5.70m,Q2 2019,91%,$38.00m
379,Nuvepro,"Nuvepro enables organizations to improve the cloud adoption and utilization through its “managed cloud environment solution"" baked by the Cloud marketplace.",information technology,,2017,United States,$400k,Q4 2018,,$2.67m
380,Ob1,"Making online trade free for everyone, everywhere.",financial services,,2015,United States,$10.50m,Q2 2019,54%,$33.33m
381,Octopus,studio + laboratory + incubator,information technology,"art, branding, creative direction, creative studio, incubator...",2014,United States,$8.50m,Q2 2018,39%,$40.00m
382,Odilo,La revolución tecnológica llega a las bibliotecas y archivos españoles. Odilo ayuda a las organizaciones en la transición del mundo físico al digital.,information technology,"information technology and services, marketing and advertising",2011,United States,$10.57m,Q3 2018,81%,$42.25m
383,Oncora Medical,Fighting cancer with data. Oncora Medical is personalizing radiation therapy using big data and machine learning. ,medicine,,2014,United States,$3.82m,Q4 2018,47%,$8.67m
384,One Model,"OneModel delivers HR with a total data strategy for all of your HR 
technology purchases. We provide a common data model and access layer for 
the creation and delivery of business content. Workforce Analytics, 
Workforce Reporting, Workforce Planning.",big data & ai,performance and event venue,2014,United States,$3.82m,Q3 2019,49%,$24.67m
385,OneSignal,"Simple, Smart, Push Notifications",information technology,"adm, apns, computers/technology, gcm, phonegap...",2014,United States,$9.00m,Q3 2019,68%,$46.67m
386,OpenBazaar,OpenBazaar is a decentralized marketplace project.,financial services,chats and forums,2014,United States,$8.00m,Q2 2019,57%,$33.33m
387,Opendorse,opendorse connects marketers with athletes to build social media campaigns.,information technology,"internet/software, marketing agency, marketing and advertising, online marketing",2012,United States,$5.25m,Q4 2019,52%,$23.33m
388,Orb Health,"Orb is mobile health engagement solution. Unified into a single platform, Orb provides a 360-degree, comprehensible understanding of health.",medicine,"health, health wellness and fitness, health/medical/pharmaceuticals, information technology company",2011,United States,$3.85m,Q2 2018,52%,$21.33m
389,Orreco,Orreco facilitates blood and saliva analysis (bio-markers) for elite athletes and already counts multiple Olympic and World champions as its clients.,medicine,sports,2010,United States,$2.00m,Q2 2018,29%,$13.33m
390,Outdoor Project,Easily discover thousands of adventures and get everything you need to actually get outside including FREE downloadable maps.,news and media,"business services, cabins, campgrounds, campsites, hike...",2012,United States,$2.00m,Q2 2018,59%,$13.33m
391,Outschool,Small-group online classes for kids outside of regular school,education,education website,2015,United States,$1.52m,Q3 2018,52%,$9.33m
392,Outward,"www.outwardinc.com
Imaging software for the furniture industry.",graphic design,,2012,United States,$5.00m,Q2 2018,37%,$33.33m
393,Ovation,"Cloud based data management, collaboration, and data compliance for scientists. We help you take control of your scientific life, simply.",information technology,internet company,2018,United States,$1.85m,Q1 2019,,$12.33m
394,Overclock Labs,"Overclock Labs (formerly OvrClk) develops protocols, tools, and infrastructure to make foundational elements of the internet open, decentralized, and secure.",information technology,information technology company,2017,United States,$1.30m,Q4 2018,,$8.67m
395,Owl Labs,Owl Labs is building an IoT video conferencing hardware product that provides the inclusive meeting experience remote employees need and deserve. Learn more at www.owllabs.com. ,information technology,,2014,United States,$6.00m,Q3 2018,49%,$40.00m
396,OwnBackup,"With comprehensive backup, visual compare, fast recovery, and replication capabilities, this top-rated application has helped hundreds of organizations through data loss and corruption crises. ",information technology,,2012,United States,$11.00m,Q4 2018,62%,$50.00m
397,Packagd,"A Philadelphia, PA business operating the website Packagd.com, providing instant, additive discounts for ""packaging"" services from participating vendors",information technology,shopping service,2017,United States,$7.50m,Q3 2018,52%,$50.00m
398,Packback,"A social learning platform for measuring, and awakening fearless relentless student curiosity.
www.packback.co",books and literature,education,2014,United States,$4.20m,Q2 2019,,$28.00m
399,PacketSled,"Packetsled develops security detection and response software. The company was founded by security industry veterans and is headquartered in San Diego, CA. ",security monitoring,"computer security, information technology and services, internet/software",2012,United States,$8.00m,Q4 2018,50%,$33.33m
400,PacketZoom,PacketZoom knows that speed matters for mobile apps.  Our technology can increase of mobile content delivery by 2x-10x+ with a very simple integration.,information technology,"internet/software, mobile developers",2013,United States,$9.30m,Q1 2019,67%,$33.33m
401,PandaTree,"PandaTree offers live foreign language conversation practice for kids through 1-on-1 video sessions with hand-picked, native-speaking tutors.",education,":online foreign language tutoring, education, kids tutoring, mandarin, mandarin chinese...",2017,United States,$1.50m,Q4 2018,,$10.00m
402,Panna,"Job recruitment redefined with Paññã's digitally recorded video interviews. Use our AI pre-built or your custom questions, see candidate score ratings & hire more efficiently. ",jobs and employment,software,2011,United States,$500k,Q1 2019,,$3.33m
403,Parachute Health,Parachute Health is a whole new kind of healthcare. Parachute Health provides delightfully simple healthcare tools that improve patient outcomes. ,,region,2018,United States,$5.50m,Q1 2019,,$36.67m
404,Paragon One,Paragon One saves students the time and anguish of figuring out the right career and getting the right job through a network of curated U.S. professionals.,jobs and employment,,2015,United States,$2.00m,Q2 2018,46%,$13.33m
405,Paro,"Paro is an exclusive network of highly vetted on-demand financial professionals. Hire bookkeepers, CPAs, financial analysts, CFOs at affordable prices.",financial services,accountant,2018,United States,$5.00m,Q2 2019,,$33.33m
406,"Parsely, Inc.","Clear audience insights for publishers
http://www.parse.ly.com",social media,"audience insights for digital media, business and industry, data and analysis for media and content marketing, digital publishing analytics software, engage and grow audience...",2009,United States,$12.85m,Q4 2018,71%,$45.33m
407,PartySlate,PartySlate is the first digital platform designed to help you find the inspiration and the pros to make your next event more meaningful and memorable.,,"event ideas, event planner",2018,United States,$1.90m,Q1 2019,,$12.67m
408,PawnGuru,"Get instant, local offers for your items sent from pawn shops right to your phone. No hassle, no shlep, no cost.",,"financial services, loan, local pawn shop, local pawnshop, local pawnshops...",2014,United States,$2.50m,Q2 2019,70%,$16.67m
409,Paystand,"The modern B2B payment platform, designed for today's Internet. Accept eChecks, eCash and credit cards on your site and mobile device. http://paystand.com",financial services,"computer software, internet company, internet/software, social network",2013,United States,$8.00m,Q2 2020,67%,$40.00m
410,Payveris,"Payveris offers a single digital payment platform that facilitates electronic bill pay, account-to-account (A2A) and person-to-person (P2P) money movement.",business and industry,"bank/financial institution, financial management, financial service, financial services",2011,United States,$12.70m,Q3 2018,44%,$50.00m
411,Pearachute,Pearachute is a new way to help your child discover and explore activities that best fit your family’s schedule. ,people and society,"activities for kids, activities for kids chicago, activities for kids near me, drop in classes, drop in classes chicago...",2016,United States,$1.70m,Q1 2019,32%,$3.33m
412,Pear Deck,Interactive lessons to optimize your 1:1 classroom,education,"e-learning, education, software",2014,United States,$4.00m,Q2 2018,47%,$26.67m
413,Peer5,"Peer5's P2P Video Streaming CDN creates stronger, more scalable video networks for publishers and better viewing experiences for users.",information technology,"cdn, content delivery network, content distribution, content distribution network, internet...",2012,United States,$2.50m,Q4 2018,54%,$16.67m
414,People Power,Turn your old smartphones and tablets into free Internet security cameras! http://www.presencepro.com/,information technology,"business and industry, internet/software",2009,United States,$7.60m,Q4 2018,67%,$21.33m
415,Petnet(io),Feeding will never be the same.,home and garden,"animal products and service, auto feeder, automatic cat feeder, automatic dog feeder, automatic feeder...",2012,United States,$18.87m,Q4 2018,78%,$25.00m
416,Phenix,Igniting real-time video,video,"android, archiving server, audio, computer software, cost-effective...",2013,United States,$3.50m,Q3 2018,40%,$23.33m
417,Phyter Food,"A new energy bar made exclusively from ripe, unprocessed plants. Find us in the refrigerated section of your favorite food store.",shopping,health food store,2017,United States,$1.00m,Q4 2018,,$6.67m
418,Pickup,"PICKUP Instant Delivery by Good Guys
1. Visit pickupnow.com
2. Request a pickup
3. Enjoy Instant Delivery
",delivery service,local service,2014,United States,$2.50m,Q3 2018,37%,$12.67m
419,Pienso,N/A,,,2017,United States,$4.20m,Q4 2018,,$14.00m
420,Pine Biotech,"Pine Biotech brings computational big-data machine learning to personalized healthcare, research, and pharma.",big data & ai,biotechnology,2014,United States,$1.02m,Q2 2018,83%,$6.83m
421,Pistol Lake,"Shirt & Sportswear Co.
Made in Los Angeles, Calif.
www.PistolLake.com",shopping,"clothing, sports",2012,United States,$600k,Q3 2018,46%,$4.00m
422,Pixlee,Pixlee is a visual marketing platform that helps brands market and sell with real customer photos and videos. ,news and media,"computer software, customer photos, digital marketing, digital stories, ecommerce...",2012,United States,$8.00m,Q3 2018,67%,$16.67m
423,Placements,"Placements.io automates sales operations for digital publishers.

www.placements.io",news and media,"accounting, adcampaigns, adition, admanagement, adserver...",2013,United States,$3.80m,Q2 2019,40%,$25.33m
424,Plate IQ,Plate IQ Turns Paper Invoices Into Predictive Insights. ,shopping,"internet company, internet/software, plate iq",2014,United States,$4.00m,Q2 2018,51%,$26.67m
425,Plexchat,Stay tuned,social media,,2015,United States,$7.00m,Q3 2018,63%,$46.67m
426,Plum Relish,Plum Relish works with top restaurants to deliver delicious meals to groups and offices.,shopping,"catering, catering tech, food, food tech, plum relish...",2018,United States,$650k,Q2 2019,,$4.33m
427,POPS! Diabetes Care,Empowering and engaging diabetic patients to live fuller lives.,medicine,"blood glucose meter, diabetes, diabetic care, medical company, mobile app...",2018,United States,$2.00m,Q1 2019,,$13.33m
428,Popular Pays,"Connect with brands who need your content & get paid for your work. Create Something Worth Sharing. 
→ http://apple.co/224eX1d ←
",news and media,"advertising/marketing, marketing and advertising",2013,United States,$7.20m,Q4 2018,69%,$34.67m
429,Positron,"Premium Cinematic VR.  Creators of Voyager, the world's first full motion platform for cinematic VR.",electronics,,2014,United States,$1.40m,Q1 2019,61%,$9.33m
430,Powerful Yogurt,"High Protein, Made with Natural Ingredients, Great Tasting Foods to Fuel a Healthy, Active Life. https://shop.powerful.yt/",,food and beverage company,2017,United States,$4.00m,Q4 2018,,$26.67m
431,Precision Biopsy,N/A,medicine,,2008,United States,$43.60m,Q2 2018,48%,$33.33m
432,Predikto,We predict failures in Industrial Manufacturing Equipment. Reduce maintenance costs and improve #reliability with #PredictiveAnalytics,big data & ai,"enterprise grade predictive analytics, information technology and services, machine learning, marketing and advertising, predictive analytics...",2013,United States,$8.00m,Q4 2018,77%,$26.67m
433,Preservica,"Preservica is a world leader in digital preservation technology, consulting and research",information technology,software,2012,United States,$3.80m,Q2 2018,40%,$25.33m
434,Prodigo Solutions,Healthcare Supply Chain Solutions,information technology,"business and industry, consulting agency, consulting/business service, information technology and services",2008,United States,$19.50m,Q2 2019,63%,$13.33m
435,Proxy42,Father.io is the Massive Multiplayer First Person Shooter played in the real world. ,gaming,"arts and entertainment, fps, games/toys, mmo, real life gaming...",2012,United States,$2.00m,Q2 2018,55%,$13.33m
436,Prsonas,PRSONAS smart virtual presenters use artificial intelligence and advanced visual technologies to engage with consumers and gather valuable user analytics in the physical world.  ,business and industry,"computer and electronics, computers/technology",2013,United States,$1.52m,Q4 2018,45%,$6.67m
437,Pulse,Purchase pulse.ly today. Starter logo included. Money back guarantee. Fast domain transfer.,financial services,"brandable domain names, business name ideas, business names, business naming, company name ideas...",2011,United States,$9.50m,Q4 2019,27%,$3.33m
438,Pulse Labs,N/A,mobile platforms,,2018,United States,$2.50m,Q1 2019,,$16.67m
439,QMENTA / Mint Labs,"A neuroimaging storage and analysis platform in the cloud, all within the browser.",big data & ai,"computer software, health, internet/software",2013,"Spain, United States",$3.93m,Q2 2018,88%,$21.95m
440,Qordoba,The Qordoba Strings Management Platform Manage the most important part of your UX – your words Request a demo,information technology,"business service, content creation software, content management software, global product development, information technology and services...",2011,United States,$6.50m,Q3 2019,47%,$33.33m
441,QR Pharma,QR Pharma is a specialty pharmaceutical company founded to develop novel treatments for Parkinson's disease (PD) and other neurodegenerative disorders. ,medicine,"biotechnology and pharmaceuticals, health/medical/pharmaceuticals",2010,United States,$9.01m,Q3 2018,62%,$5.33m
442,Quantifi,More information coming soon.,marketing and advertising,"digital advertising, digital marketing, marketing, optimization, software company...",2016,United States,$2.30m,Q3 2018,,$15.33m
443,Quill,Quill is an interactive writing and grammar tool.,education,education,2013,United States,$6.25m,Q1 2019,43%,$30.27m
444,Qwil,Qwil helps independent contractors get paid.,,"contractor, dronebase, independent, pay, uber...",2018,United States,$5.00m,Q2 2019,,$33.33m
445,Reachify,"Informed software decisions start here. Our business intelligence platform delivers real-time information, competitive analysis, and deep insights on enterprise software, vendors, and brands. ",business and industry,,2015,United States,$3.25m,Q3 2018,63%,$10.00m
446,Reality AI,"Make Sense of the Physical World. AI Signal Processing Tools for Engineers working with Sensors. Detects Anomalies and Classifies Signals. Put AI on your microcontroller - can run embedded in firmware, in real time, on inexpensive commodity hardware at the edge.",,"ai, internet of things, lidar, sensors, signal processing...",2015,United States,$1.70m,Q2 2018,56%,$11.33m
447,RealtyPro Solutions,"RealtyPro MLS by RealtyPro Solutions is professional, reliable, customizable MLS software for real estate boards and associations.",property management,real estate,2018,United States,$2.00m,Q1 2019,,$15.00m
448,Recombinetics,Recombinetics is a global leader in proprietary gene repair and gene-editing technology.,,"biotechnology, biotechnology company, business and industry",2008,United States,$20.00m,Q4 2018,74%,$46.67m
449,Record360,Record360 – The Property Documentation Solution,information technology,"asset condition management, asset documentation, asset qa, asset quality assurance, banking...",2013,United States,$2.21m,Q2 2018,47%,$3.33m
